# Values for variable: $\Delta \phi (b_1,\bar{b}_1)$ (Parton Level)
# Input file for ddmH_mS_500_m1_244_dm_90_nosmear : ../pp2chi0chi0J_scan/Events/run_01/ddmH_mS_500_m1_244_dm_90_delphes_events_nosmear.root (38862 MC events)
bin_center,bin_left_edge,bin_right_edge,normalized_count,error
1.5867e-02,0.0000e+00,3.1733e-02,3.0621e-03,2.8070e-04
4.7600e-02,3.1733e-02,6.3467e-02,3.6797e-03,3.0771e-04
7.9333e-02,6.3467e-02,9.5200e-02,3.6540e-03,3.0663e-04
1.1107e-01,9.5200e-02,1.2693e-01,3.4224e-03,2.9676e-04
1.4280e-01,1.2693e-01,1.5867e-01,3.6282e-03,3.0555e-04
1.7453e-01,1.5867e-01,1.9040e-01,4.1429e-03,3.2650e-04
2.0627e-01,1.9040e-01,2.2213e-01,4.1943e-03,3.2853e-04
2.3800e-01,2.2213e-01,2.5387e-01,3.7569e-03,3.1092e-04
2.6973e-01,2.5387e-01,2.8560e-01,4.0914e-03,3.2447e-04
3.0147e-01,2.8560e-01,3.1733e-01,4.0142e-03,3.2139e-04
3.3320e-01,3.1733e-01,3.4907e-01,3.9885e-03,3.2036e-04
3.6493e-01,3.4907e-01,3.8080e-01,4.4259e-03,3.3747e-04
3.9667e-01,3.8080e-01,4.1253e-01,4.1171e-03,3.2549e-04
4.2840e-01,4.1253e-01,4.4427e-01,3.8598e-03,3.1515e-04
4.6013e-01,4.4427e-01,4.7600e-01,3.9370e-03,3.1829e-04
4.9187e-01,4.7600e-01,5.0773e-01,4.4774e-03,3.3943e-04
5.2360e-01,5.0773e-01,5.3947e-01,5.3008e-03,3.6932e-04
5.5533e-01,5.3947e-01,5.7120e-01,4.8119e-03,3.5188e-04
5.8707e-01,5.7120e-01,6.0293e-01,4.6575e-03,3.4619e-04
6.1880e-01,6.0293e-01,6.3467e-01,4.5288e-03,3.4137e-04
6.5053e-01,6.3467e-01,6.6640e-01,4.5803e-03,3.4331e-04
6.8227e-01,6.6640e-01,6.9813e-01,5.1464e-03,3.6391e-04
7.1400e-01,6.9813e-01,7.2986e-01,4.8891e-03,3.5469e-04
7.4573e-01,7.2986e-01,7.6160e-01,6.0728e-03,3.9530e-04
7.7746e-01,7.6160e-01,7.9333e-01,5.1464e-03,3.6391e-04
8.0920e-01,7.9333e-01,8.2506e-01,5.0692e-03,3.6117e-04
8.4093e-01,8.2506e-01,8.5680e-01,5.5324e-03,3.7731e-04
8.7266e-01,8.5680e-01,8.8853e-01,5.8669e-03,3.8855e-04
9.0440e-01,8.8853e-01,9.2026e-01,6.7933e-03,4.1810e-04
9.3613e-01,9.2026e-01,9.5200e-01,5.8926e-03,3.8940e-04
9.6786e-01,9.5200e-01,9.8373e-01,6.3044e-03,4.0277e-04
9.9960e-01,9.8373e-01,1.0155e+00,6.0985e-03,3.9614e-04
1.0313e+00,1.0155e+00,1.0472e+00,7.1021e-03,4.2749e-04
1.0631e+00,1.0472e+00,1.0789e+00,5.8412e-03,3.8769e-04
1.0948e+00,1.0789e+00,1.1107e+00,7.3851e-03,4.3593e-04
1.1265e+00,1.1107e+00,1.1424e+00,6.4073e-03,4.0605e-04
1.1583e+00,1.1424e+00,1.1741e+00,6.6389e-03,4.1332e-04
1.1900e+00,1.1741e+00,1.2059e+00,6.4073e-03,4.0605e-04
1.2217e+00,1.2059e+00,1.2376e+00,7.2307e-03,4.3135e-04
1.2535e+00,1.2376e+00,1.2693e+00,7.7454e-03,4.4643e-04
1.2852e+00,1.2693e+00,1.3011e+00,7.2307e-03,4.3135e-04
1.3169e+00,1.3011e+00,1.3328e+00,7.4880e-03,4.3896e-04
1.3487e+00,1.3328e+00,1.3645e+00,8.1313e-03,4.5742e-04
1.3804e+00,1.3645e+00,1.3963e+00,8.0284e-03,4.5452e-04
1.4121e+00,1.3963e+00,1.4280e+00,8.2085e-03,4.5959e-04
1.4439e+00,1.4280e+00,1.4597e+00,9.3407e-03,4.9026e-04
1.4756e+00,1.4597e+00,1.4915e+00,8.0799e-03,4.5597e-04
1.5073e+00,1.4915e+00,1.5232e+00,8.3372e-03,4.6318e-04
1.5391e+00,1.5232e+00,1.5549e+00,9.5466e-03,4.9563e-04
1.5708e+00,1.5549e+00,1.5867e+00,8.7232e-03,4.7378e-04
1.6025e+00,1.5867e+00,1.6184e+00,9.3922e-03,4.9161e-04
1.6343e+00,1.6184e+00,1.6501e+00,9.2893e-03,4.8891e-04
1.6660e+00,1.6501e+00,1.6819e+00,8.8518e-03,4.7726e-04
1.6977e+00,1.6819e+00,1.7136e+00,9.4437e-03,4.9296e-04
1.7295e+00,1.7136e+00,1.7453e+00,9.0577e-03,4.8278e-04
1.7612e+00,1.7453e+00,1.7771e+00,1.0859e-02,5.2860e-04
1.7929e+00,1.7771e+00,1.8088e+00,1.0807e-02,5.2735e-04
1.8247e+00,1.8088e+00,1.8405e+00,1.0807e-02,5.2735e-04
1.8564e+00,1.8405e+00,1.8723e+00,1.1502e-02,5.4404e-04
1.8881e+00,1.8723e+00,1.9040e+00,1.1245e-02,5.3792e-04
1.9199e+00,1.9040e+00,1.9357e+00,1.1219e-02,5.3730e-04
1.9516e+00,1.9357e+00,1.9675e+00,1.1425e-02,5.4221e-04
1.9833e+00,1.9675e+00,1.9992e+00,1.1451e-02,5.4282e-04
2.0151e+00,1.9992e+00,2.0309e+00,1.2120e-02,5.5845e-04
2.0468e+00,2.0309e+00,2.0627e+00,1.3458e-02,5.8847e-04
2.0785e+00,2.0627e+00,2.0944e+00,1.2660e-02,5.7077e-04
2.1103e+00,2.0944e+00,2.1261e+00,1.2660e-02,5.7077e-04
2.1420e+00,2.1261e+00,2.1579e+00,1.3098e-02,5.8054e-04
2.1737e+00,2.1579e+00,2.1896e+00,1.3638e-02,5.9240e-04
2.2055e+00,2.1896e+00,2.2213e+00,1.3998e-02,6.0017e-04
2.2372e+00,2.2213e+00,2.2531e+00,1.4976e-02,6.2078e-04
2.2689e+00,2.2531e+00,2.2848e+00,1.4204e-02,6.0457e-04
2.3007e+00,2.2848e+00,2.3165e+00,1.4230e-02,6.0511e-04
2.3324e+00,2.3165e+00,2.3483e+00,1.5336e-02,6.2820e-04
2.3641e+00,2.3483e+00,2.3800e+00,1.3844e-02,5.9685e-04
2.3959e+00,2.3800e+00,2.4117e+00,1.6417e-02,6.4996e-04
2.4276e+00,2.4117e+00,2.4435e+00,1.6057e-02,6.4279e-04
2.4593e+00,2.4435e+00,2.4752e+00,1.6031e-02,6.4227e-04
2.4911e+00,2.4752e+00,2.5069e+00,1.5722e-02,6.3606e-04
2.5228e+00,2.5069e+00,2.5387e+00,1.4822e-02,6.1757e-04
2.5545e+00,2.5387e+00,2.5704e+00,1.6571e-02,6.5301e-04
2.5863e+00,2.5704e+00,2.6021e+00,1.6288e-02,6.4741e-04
2.6180e+00,2.6021e+00,2.6339e+00,1.7421e-02,6.6953e-04
2.6497e+00,2.6339e+00,2.6656e+00,1.6700e-02,6.5554e-04
2.6815e+00,2.6656e+00,2.6973e+00,1.6700e-02,6.5554e-04
2.7132e+00,2.6973e+00,2.7291e+00,1.7678e-02,6.7446e-04
2.7449e+00,2.7291e+00,2.7608e+00,1.7343e-02,6.6804e-04
2.7767e+00,2.7608e+00,2.7925e+00,1.6983e-02,6.6107e-04
2.8084e+00,2.7925e+00,2.8243e+00,1.8270e-02,6.8565e-04
2.8401e+00,2.8243e+00,2.8560e+00,1.7961e-02,6.7983e-04
2.8719e+00,2.8560e+00,2.8877e+00,1.8373e-02,6.8758e-04
2.9036e+00,2.8877e+00,2.9195e+00,1.7369e-02,6.6854e-04
2.9353e+00,2.9195e+00,2.9512e+00,1.7755e-02,6.7593e-04
2.9671e+00,2.9512e+00,2.9829e+00,1.6752e-02,6.5655e-04
2.9988e+00,2.9829e+00,3.0147e+00,1.8064e-02,6.8178e-04
3.0305e+00,3.0147e+00,3.0464e+00,1.8347e-02,6.8710e-04
3.0623e+00,3.0464e+00,3.0781e+00,1.8012e-02,6.8081e-04
3.0940e+00,3.0781e+00,3.1099e+00,1.8527e-02,6.9046e-04
3.1257e+00,3.1099e+00,3.1416e+00,1.9248e-02,7.0376e-04
