# Values for variable: $n_{j}$ (Off-line, N)
# Input file for ddmH_mS_500_m1_244_dm_90 : ../pp2chi0chi0J_scan/Events/run_01/ddmH_mS_500_m1_244_dm_90_delphes_events.root (38862 MC events)
bin_center,bin_left_edge,bin_right_edge,normalized_count,error
0.0000e+00,-5.0000e-01,5.0000e-01,9.9267e-01,5.0540e-03
1.0000e+00,5.0000e-01,1.5000e+00,7.1021e-03,4.2749e-04
2.0000e+00,1.5000e+00,2.5000e+00,2.3159e-04,7.7196e-05
3.0000e+00,2.5000e+00,3.5000e+00,0.0000e+00,0.0000e+00
4.0000e+00,3.5000e+00,4.5000e+00,0.0000e+00,0.0000e+00
5.0000e+00,4.5000e+00,5.5000e+00,0.0000e+00,0.0000e+00
6.0000e+00,5.5000e+00,6.5000e+00,0.0000e+00,0.0000e+00
